text,anger
Britain is showing con man @realDonaldTrump aka @POTUS that his campaign helped the UK to exit #Brexit ! More charges for him & his corrupt campaign! #TraitorTrump #Resistance #RussiaGate #IllegitimatePresident #lockthemup #TrumpCrimeFamily #TrumpPayForPlay #DictatorTrump,1
Dear #RobotChicken: stop. with. the. fucking. politics. They're consistently the least funny skits. Brexit? AYFKM?,1
Remoaners say Brexit was based on xenophobia and racism but here is a remainer calling for 'trash' to go back home.. Whose the real xenophobe #remainlogic #Brexit #leftisthenewright,1
"I'll be so happy next year when we finally exit the EU. Not because of some gammon reason, but because the word #Brexit is an abomination of the English language I'm happy to see the end of. My soul cringes at the mass adoption of a tabloid shorthand.",1
"Theresa May's brighter post Brexit future is most likely leaving Britain so she doesn't have to deal with the turgid shit she has enabled. 
The best thing that party can do is take a very long walk west, about 2000 miles west. ",1
#PutinsPlans for a decade include #DivideAndConquer #America& the #EuropeanUnion! Of course #Brexit is part! #CriminalGOP& #Trump! #Putin #RussianLaunderedMoney is #CompromisingAmerica& #Britain's strength! #Resist #Remain #EU #StrongerTogether #Resist #TheResistance #VoteGOPOut,1
The UK is investigating Russian money and meddling in the Brexit vote. Recent reports say Mueller is also investigating connections between Brexit leaders and DT's campaign. I bet the Lord of the Lies will start spewing unhinged tweets before dawn.,1
"I just had to pay over 4 euros for a cup of tea in a German airport, so frankly bring on Brexit",1
Looks like Putin also funded the brexit move of the brits by using billionaire businessman to do their dirty work for them much like they did with Trump the conman& criminal whoremonger par excellence that stole US election! Putin is having orgasms of glee,1
"Okay you do that, it is badly needed...I wanna focus on:  
I demand the immediate apprehension and arrest of Donald J Trump @realDonaldTrump for High Treason, Crimes Against Humanity, Perfidy, Malfeasance, Human Trafficking, Money Laundering, Abuse of Power, Abuse, Rape and RICO. ",1
"Lies! Lies ! And more Lies!
Trump claims he never pressured House GOP on immigration bill, despite tweeting otherwise @CNNPolitics ",1
"So these are the Supreme Beings who suppose to control everybody? WTFF Trump really Lord of Lies, King of Asses ",1
#ImOnlySorryWhen Trump is on the news spewing ignorance and hate. Sad.,1
"what a weasel: Trump's flaws and lies are overlooked as long as he provides tax cuts and ""pro life"" judges. ",1
"At what point do we stop worrying about laying out all the laws that have been broken, and just go ahead and impeach Trump for being a reckless authoritarian and an existential threat to this nation?",1
"The @DNC lost us the 2016 election, and despite it being blindingly obvious that appealing to the now openly fascist @GOP is useless, Democrats STILL think they can win by delusionally appealing to Trump voters. WE NEED AN ANTIDOTE, and we must give non-voters a reason to vote. ",1
"LOL these are my favorite kinds of videos. At the root of all of these 'protests' is a senseless and blind hatred for Donald Trump. 
They would march to resurrect Charles Manson if it meant they could whine about Trump. 
Pathetic, insipid, and ultimately comical. ",1
"The three toughest fighters in Congress against Trump and his hateful, bigoted policies are @RepMaxineWaters, @RepTedLieu and @RepAdamSchiff. They don't hesitate to call out Trump LOUDLY and FORCEFULLY. 
?Retweet if you agree we need more Dems like them!!
",1
"Then show us where Christ ever said a damn thing abt judging gay ppl, separating children from their parents, calling others ""illegals"" or cutting taxes for the wealthiest Nazarenes you flock-fleecing, Trump-shilling, revoltingly fake-Christian Pharisee. ",1
These illegal immigrant protests are much more about hating Trump than actually helping children,1
"Trump lives in a fantasy world where he & his police force, ICE, are 'liberating' American cities. He is deranged & delusional. THIS IS NOT MOSUL. NONE OF THIS IS TRUE. NOT ONE WORD! #SaveDemocracy ",1
"Just as a reminder, Donald Trump destroys every goddamn thing he touches.",1
"Just a brilliant comment by some Trump idiot. Also, I absolutely don't believe she just stole tip money. Server squabbles are ridiculous and petty and dramatic. ",1
Trump has no interest in 'we' the people. I have not heard one simple minded peep from him about the hundreds of thousand people protesting his immigration policies. Not one. Have you? I know he tweets from the golf course so don't say he was too busy.,1
"Mexico just elected their next president Andrés Manuel Lopez Obrador #AMLO. He is Trumps twin if trump was on the Left, yet he is anti trump. He is the perfect response for this bully and will stand up against him on policy.",1
"To be fair, he did campaign harder for Hillary than she did for herself.  

Now we know exactly why the weasel campaigned like his life depended on it, that's because it did!  Without the Hillary win, his treason would be exposed.  Thank God for President Trump! ?? ",1
"WTF! Trump supporters

",1
"Imagine our adversaries in the world as they learned how easy it was for a comedian to bypass security measures and reach the president. They are rolling. Once again, Mr. Trump has made the U.S. the brunt of jokes and brought embarrassment to what we are all about as a nation.",1
"#Resistance let's not forget #LiarInChief is suing pretty much every town he owns property taxes in claiming they aren't worth as much as he boasts they are!

Trump's company is suing towns across the country to get breaks on taxes ' 'Trump, Inc.' podcast ",1
Trump is officially working with the Russians to take down America. Allegedly,1
".@realDonaldTrump Of course, Trump wins on the other end of scale:  worst president in history,:most harmful to America and global democracy; most divisive, worst leader, most narcissistic... #GOP #Complicit #VoteThemOut ",1
"President Trump is clueless about the global market.  Arrogant Moron...?

",1
"America's politicians not laughing now.
A year ago when candidate trump talked about the necessity of building a wall on our Southern border the leftist ASSHATS... ",1
We're reminded everyday just how fortunate we are that #Trump won the election and not #HIlllaryRottenClinton.,1
"Yeah, so sometimes all you can do is........... ? Here's hoping for a 'kick their f*cking a*ses' July! GO #TRUMP  GO #QAnon ???????? #LetsDoThis ??",1
The Koch Brothers are behind the destruction of democracy....and trump,1
Isn't this another one of those crackpots that trump gets his intelligence from? #Nitwit,1
"The Fair and Reciprocal Trade Act (also known as FART) is in the works by President Trump.

He already made the mainstream media say ""Shithole"" 10,000 times, now let's see the FARTfest.",1
We can't have a lawless society! I don't like Trump but he ain't wrong about the shit going on in this country.,1
"When asked if they wanted to cheat using your stolen personal Facebook data, #Trump said yes.

@HillaryClinton said, ""No, thank you.""

#CheatToWin #Russia ",1
"Mike AllenÂ @AMike4761Â Â UN to Trump: Accept Muslim Refugees and Illegal Aliens or Else! Lol. Does Trump care? #ma4t #DefundTheUNÂ 
",1
"For Shame Halifax!!
Ugly Canadians Led By Bigoted Anti-White 'Muslim Activist' Heckle US Marine Band At Grand Parade Square During Anti-Trump 'Protest'
Led by Masuma Khan, daughter of Afghanistan immigrants, 
That's gratitude for you!
#cdnpoli 
",1
Trump keeps creating jobs! JOBS! JOBS! JOBS! #MAGA How is the unemployment rate going down? Sears is closing 78 more stores. Here are all of the locations shutting down where you live.,1
"Don't try to sell us. Trump's entire family image is a con job to peddle real estate. He cheated on 3 wives, raped his 1st wife, had illegitimate children with 'The Help' & will likely offer his son-in-Law as a sacrificial lamb before taking the fall himself. ",1
Recession fears are flaring as Trump's trade war has markets behaving in a way not seen since the financial crisis,1
The suits sending lil niggas to kidnap people again trump second term batta be crazy,1
"02 Years, 05 Months, 03 Weeks, 06 Days, & 20 Hours 
Until the nightmare is over
Then America can take a HUGE TRUMP.. oh I mean DUMP",1
"Trump SCOTUS pick should be grilled about Mueller probe 'before their rear end hits the chair,' s... ",1
"This is the standard the Republican media sets for immigrants and and people of color in the Trump era. If you live in a nice area and are well-educated, you're an elitist; if you're poor or live in a bad neighborhood, you're a drain on society. ",1
"Trump lies everyday.
Fox news repeats he's lies.
People is he's administration supports he's lies.
People believe all the lies.

What happened to the America i was raised in is this is not right.",1
"white people makin not likin trump a personality trait so they comfortably spew microaggressions while being ""not racist"". yall still smell like mustard bitch i aint bitin ",1
The downfall of Trump's influence on America! Neighbor calls police on a 12-year-old boy for mowing the wrong lawn - CNN,1
oomf voted for trump!! inch resting i'll be keeping my eye on u princess,1
"Trump stands firm on trade, even as foreign tariffs begin kicking in
Putin must be threatening Trump with blackmail again
",1
"Trump is a despicable lying piece of shit! He is a cowardly draft dodger who is without honor, on top of being a traitor to his country! He's a filthy racist without any loyalty to... ",1
This explains every thing.  I knew these people couldn't go sober and vote for trump lol,1
"When I say ""how was your weekend?"" to co-worker and two minutes later he is rambling on how he bought thousands of bullets because Hillary plans on taking them away by classifying them as environmental hazards and trump saved the 2nd amendment by weakening the EPA. ",1
"Trump doesn't even have a ""firm grip"" on reality! Who are you trying to kid? ",1
"I hope the Western Press is invited to this party. Or, do we have 2depend on the Russians 2let the American people know  what ?@realDonaldTrump? gave away& 4what, exactly, he sold us out. ",1
"President Trump threatens California Rep. Maxine Waters in response to her rebuke of his administration: ,hey trump half of your administration is gone to jail,and your next",1
"All America got out of this Trump deal was them bones , them bones , them dried bones. I'm sure some people are happy, but did he have to sell the farm?
If this is his version of the art of the deal...it sucks bigly.
There's no telling what Putin will walk away with. #GodSaveUs ",1
Tell them to go f*cking f*ck' themselves: Michelle Wolf teaches a masterclass on how to perfectly crush the soul of Trump's team. If these #LiberalLogic #terrorists want the next #American civil war. #Conservatives will give them one. #seeyouinthestreets,1
"Arizona will never forgive ?@SenJohnMcCain? for LYING in campaign speeches stating he would vote to repeal Obamacare! Also, we'll never forgive him for paying for the Steele dossier or for providing arms to terrorists! ?@MeghanMcCain?  ",1
"Trump, taking the word of murderous dictators: ""He said he's going to do it, you know. He's going to do it. I think he's going to do it."" - #FailureInChief ",1
Lock him up !,1
Trump can't compete with a widow maker jockey stick. He's gotten a taste of his own medicine. F'n funny!!!,1
Please vote with the Democratic Party 2018 to impeach the trump monster POTUS and remember to please not be ashamed to care about everyone and let's amend the constitution please,1
"President Trump is clueless about the global market
Yes he is. Its why he's a moron and WE will feel it in our pocketbooks. It'll slowly erode our buying power and weaken our economy. But didn't Putin tell him to do it? Of course.",1
"I would bet my life that the dirty Dems from our country did everything they could in their power to help this evil sick man get elected, just bcuz HE is SO ANTI-TRUMP. ",1
CONGRESS! DO YOUR JOB!!!,1
"Another example here that nothing trump says is ever true. ::::A statement clarifies that Saudi Arabia will use its extra production capacity 'if and when necessary to ensure market balance and stability."" ",1
"Trump stands firm on trade, even as foreign tariffs begin kicking in. | Of course Trump isn't backing down. Putin won't let him. Putin wants US alliances degraded. Trump obeys.  ",1
Wow. OMG. Check out how my local news @wxyzdetroit presented latest fallout re Donald Trump's insane Trade War that's infuriated our closest allies.  Look at the Canadian file footage they used! Why wld they use this?! Unreal. #propaganda #disinformation #TradeWars .@chrislhayes,1
so true we have seen the Trump followers kill,1
Looks like Trump supporters won... Antifa had no business being there! Why aren't they in jail by now?,1
Let's send Trump and his supporters into space?!?!,1
That's right they said Bush Senior was a Nazi then they said his son was a Nazi they said John McCain was Nazi now they saying President Trump is a Nazi so they saying every Republican is a Nazi think about it folk. Is propaganda,1
"A) @realDonaldTrump doesn't know wtf he's doing, b) #MerrickGarland & c) we should be scared. Trump doesn't value women as equals, maybe not even people. Just about the only way he's like the rest of the #GOP. #prochoice #WomensRights ",1
"Trump's ""team"" consists of traitorous sellouts and handpicked sychophants covering for a malignant narcissistic psychopath who was hand picked by Putin because he's stupid and greedy and desperate to succeed at something. After being a failure ALL his life. ",1
"kennedy + son financial conspiracy with trump (1), trump conspiracy with russian hackers, israel, saudi arabia + uae to throw the election (2), obstruction of justice (3), emoluments corruption (4) are the four linchpins to Mueller's work.

May it all lead to a legal ""lynching"". ",1
"If everyone quit, maybe we could stop trump's rampage & assault on our country. ",1
"All of Congress should be very upset about this! It should be looked into, and it should be taken seriously! ",1
"Like the bumper bang. Trump is out of control! We will stop him!
As Trump tries to slay the Chinese dragon ",1
"Trump is very dangerous to our country! Why is not that your byline! I believe Trump is right about you MSM!

Trump Calls His Critics 'Very Dangerous For The Country' | HuffPost - HuffPost ",1
"No words to describe how horrifying that is? I hope the press stays on top of this so we know how much Trump costs us taxpayers for his human rights violations?

Hey Trump voters still think he's a good business man ??. FOOLS FOLLOWING A FOOL?? ",1
"Like this group
A meeting of Democrat women in Oakland screaming into the air and  showing their vajay-jays - in protest of President Trump. Still trying  to make sense out of this and how Christians resonate with these type of  voters ??????????",1
"Wat knucklehead wrote that bullshit? Still drunk from last nites party or wat? Trump is n adulterer for sure, thrice married & treats Melania like a dog,...is that wat u think a family man is?? GTFOH ",1
"Trump is a Russian stooge. Putin has damaging information about him and/or is passing a lot of money to him. Otherwise, Trump is just an aspiring ultra-nationalist authoritarian oligarch. ",1
"Of course Trump is pro Russia. He is a traitor to this country. Kompromat is the millions he owes them and the photos of him doing abnormal things. Impeach him, try him, hang him for the traitor he is. ",1
"Norm Eisen's religious bigotry and anti Christian hate is but a prelude of what is to come/ Trump knows this. It's electoral gold. Scummy behavior from Eisen dooms the Ds in November.

To wit - Fuck you Norm, but please keep it up. ",1
The Line From Misogyny to Trump to Violence Is Undeniable and Unacceptable,1
Pretty sure straws aren't the biggest thing causing global warming. Maybe the government should look in to changing the BIG PROBLEMS like ocean acidification and deforestation? Except you know... that would make too much sense!,1
FUCK D ENVIRONMENT,1
"even if we don't get to see it, maybe our kids will. Something these old ass conservatives could care less about. destroy the economy and environment as long as they make a buck before their expiration date ",1
Yeah lets sell our cheap reliable energy too India because it's bad for the environment   lucky for India they dont live on the same planet as us    so it wont affect our planets Environment   FUCKING LYING PIECES OF SHIT GOVERNMENT turn our Country 3rd World for Profit,1
#WorldWar3Movie ???? an eye opener for all of us that how imbalance in environment plays havoc!!,1
"Some Aussies complaining about plastic bag ban, not only is your wallet small  but mind aswell. How about all you scums go eat a plastic bag and  save the environment. bitchig about shit all the time, the union killed manufacturing in  Oz, now they want the environment dead too. ",1
i didnt finish my homework but now i know after these whites read abt media and gender and black feminism they rly didn't understand shit,1
"me: hey guys pity is about one guy who said something misgynostic to me 
neckbearded 30 year old: so u hate all men
me: n-
neckbeard mcgee: lmaoooo feminism? ?? AWFUL! ??? go dye ? ur armpits ? FEMINAZI ?????",1
"Feminism aids in burying our freedom buy using the same tactics of the kkk and applying it to all men not just black men. Yes #metoo is blatant BIGOTRY perpetuated by our mainstream feminist journalists against all men in society.

This is a fact. 
",1
"ppl who CALL themselves a feminist: gay ass prob got a tiny dick anyw
yall: dis y idfw feminism! yall TOXIC
me: if some1 SAYS theyre a feminist but is racist/sexist/homophobic etc, theN THeyreNOTaFEMINIST? like if I told u I'm vegan but ate meat in front of u, am I still vegan??? ",1
"i hate to break it to you sharon,,, but if your 'feminism' involves you shaming other people for their decisions with their own body that do not hurt anyone (shaving. hair style. clothing)THEN YOURE NOT A FUCKING FEMINIST. thanks for coming to my TED talk. stay woke. ??",1
"black men in college are socialized to feel special just because they are black men that made it to college

don't fall for niggas bc they're not homophobic and they take classes about feminism sis - they somehow still don't understand how they are socialized to feel power over u",1
This should have happened long ago. She's trying to push her bullshit political opinions and stupid ass feminism down our throats with Star Wars. She needs to be gone.,1
Male feminism is having a conversation what the fuck is this shit.,1
I HAVE THE POWER OF WHITE FEMINISM AND PRIVILEGE ON MY SIDE,1
"Feminism is about equality? That's the funniest shit I've ever heard because this shit that people like @femfreq are spewing us not about equality. Sarkeesian even advertises ""trust no man"" yeah that's equal. ",1
"The best thing for feminism is to keep letting bitter, humorless, shitty millennials be the mouthpiece. It's TOTALLY winning over the public. #vice #triggered ",1
Lmao people actually think this is demonstrative of feminism. Fuck outta here.,1
"Oh I do not like this fucker at all...Watch ""Bill Burr On Cucks (White Privilege, SJW's, Feminism)"" on YouTube - ",1
i'll never understand females who openly declare their opposition to feminism. like sis..what nigga you tryna impress so bad?,1
"If I had a time machine, I'd go back to the 1950s and abort embryonic feminism.",1
"me: is a lesbian, has been an active part of the lgbt community for 5 years now, has been involved with feminism for nearly 8, literally researches gender and sexuality: h-
a cishet that wants everyone to call seokjin daddy: YOURE SO HOMOPHOBIC AND SEXIST YOU DYKE WHORE",1
Daily Truth #95: Feminism is still cancer.,1
"Fr. @RPGEndBoss 
Feminism is about equality, am I right #GamerGate?
No it's not, wake up and pull your head out of your fucking asses. ",1
"Posting, Soros, MS-13, Communism, Soy, 69, Open Borders, Cuck, Feminism, Sharia Law.' I say, completing the activation sequence for my fellow Antifa Super Soldiers ",1
The government really be eavesdropping on everything I say ??,1
Dual Government bitches,1
"CONCRETE PROOF OF OBAMA'S ""SHADOW GOVERNMENT"" WITH HIS MASSIVE DC STAFF! ",1
Because they wanted the world to know s/he really didn't care about the Federal government kidnapping kids! ?,1
WE NEED A CONSTITUTIONAL AMENDMENT THAT FORBIDS ESTABLISHING ANY FORM OF SOCIALIST GOVERNMENT IN THIS COUNTRY!!!,1
Go fuck yourself,1
Stealing from the Government in other ways @realDonaldTrump I see what you are doing? After you blasted Obama. You should STFU . You are stealing from the government every time you go on that property,1
"If you on ANY type of government assistance ... stop saying you take care of yo kids on yo own . Bitch no you don't , no you do not .",1
GOOD NIGHT PEOPLE I HAD LOTS OF FUN.....  TALKING TO SOME OF THE INSANE PEOPLE OUT HERE THAT LIVE IN THEIR SAFE MAKE-BELIEVE-WORLDS OF FALSE REALITIES NOT KNOWING THE HISTORY OF MANKIND WHO HAS TRIED EVERY GOVERNMENT UNDER THE SUN THAT FAILED EACH TIME! IT WILL SOON BE OVER!,1
"The fire-works that we'll hear this 4th of July may soon be the sound fire-arms going off in the streets of America. This is being brought about by the gross corruption in government, the ignorance & 100% dissatisfaction of the mass, and the pervasive stench of #WhiteSupremacy",1
"the most obscure political hill I'll die on is that we should stop farm subsidies. fuck the farmers, they don't make that much of our food and they bitch constantly then vote republican when GOVERNMENT MONEY is the only reason they can ride around on tractors saying racist shit",1
the government just spent 4.5 billion dollars on building an oil pipeline that goes through indigenous territory wow i love u trudeau!,1
I blame the government,1
I urge everyone that live in California that are not some deranged idiot liberal move to other states in the United States of America shit is about to hit the fan the California government needs to be taking down @realDonaldTrump,1
You know what homophobia is? Im the phobia of you homos.,1
Gays with a personality like yours are one of the reasons why homophobia is still so rampant in the country. ' Ay ano ba dapat? Hahaha,1
"If you are part of the UCP, you are not a good person. 

You are cruel. You are complicit with racism, misogyny, homophobia. 

No one associated with the UCP is redeemable. #ableg #abpoli ",1
"Maintainyour social media feed to polarize people. Don't like homophobia or conservatives? Write a few barrages that are pro-abortion or about legalizing same sex marriage. 
You get the point. Keeps the wrong crowd out and removes pointless discussions in the future.",1
"if by 'family values' you mean 'sexism and homophobia with a heaping tablespoon of noxiously misplaced self righteousness,' which the christian right does. hooray? ",1
"Come for the grotesque, imbecilic slander; stay for the causal homophobia. ",1
If your entire joke is literally 'haha gay' then it's just homophobia. That's it.,1
fuckin ikon comes to the ph and twice doesnt.  fuck meninism fuck homophobia i need my lesbian energy,1
People thay say homophobia doesn't exist anymore live in   a parallel universe or are too fucking blind to see reality??,1
stop saying monosexual about gay men and lesbians as if it's a privileged class and they're just ~close minded~ it's straight up homophobia you bastards,1
my local movie theater showing shitty movies like gotti but not hearts beat loud is corporate homophobia,1
"So, Mr. Soybean Farmer has been totally okay with Trump's bigotry, racism, homophobia, misogyny, xenophobia, corruption, immorality and treason, but now he's upset that Trump's idiotic trade policies will cost him soybean sales. My heart bleeds for him. ",1
its not any lgbt persons jobs to show homophobes or 'the rest of the world'  that lgbt people deserve to be treated like any other human. its not our fuckin job to constantly keep straight people in line. its not our job to fix their homophobia.,1
"If Jews wanted to seriously fight homophobia, they would burn ther torahs and admit no loving God would write that homophobic vitriolic garbage you call the Bible",1
"Hey, you too busy now with your homophobia and stupidity? Lmfao. Disgusting. ",1
@ the person calling you a 'c**n' do they not realize that the yts basically invented homophobia and that indigenous people hav... ' Lol I know hold on lemme hit y'all with a throwback,1
Idc how small a homophobic act is Fucking disgusting and WILL result in me seeing you as a piece of shit. FUCK U LARRY YOUR HOMOPHOBIA HAS NO PLACE IN MY COMMUNITY. Suck a dick you idiot. -Love your local Pansexual :). ???? LOVE IS LOVE ??,1
"Lol this straight person wishes gay people wouldn't be so mean to them and give them credit for giving us rights. ?

Liberals are fucking disgusting, and look at all these liberals here trying to defend Kathy Griffin's homophobia.

Get the fuck back in your lane, straight. ",1
"The US is fucking imploding in on itself with politics and I'm sitting here thinking ""bitch I'm busy watching old wrestling PPVs leave me outta this""",1
"I hate when people bring up politics for no reason. Like no one fucking asked who you voted for, Jacob.",1
"Occasionally I see ONE thing that's just fucking funny
So I follow that person to see if it happens again, ignoring politics and failed attempts
Then what happens?
I disagree with ONE stupid joke, get called a ""right-wing dipshit"" and then get this bullshit
fucking children ",1
Trump says he won't sign any NAFTA deal until after midterms trump... a fat worthless piece of shit...OH DID I FORGET ''BRAINDEAD'',1
What Arrogance!!! It's not a Negative Interaction because when Trudeau does the Groping all women love it!!! #MeToo #TimesUp #Cdnpoli #Ottawa #CanadaDay #Canada,1
America is a place that floods high ground with lunatics. To exclude. To deny. To retard. To prevent the best tactical ground from being viable. This new polarisation in politics is a scorched earth policy.,1
"of course BABOON trump imbecile doesn't want ICE or better his GESTAPO to be abolished he wishes to have many more decadent nazi members to help him and protect him....well, punk you are an old fool sick and slob PIG and you are NOT living forever, as... ",1
I say build the freaking wall & kick ILLEGALs off it. Then charge Mexico for all the money we've wasted taking care of their people while American Children starve & die in poverty. The Left doesn't care about children or minorities. They want votes. #FamilesBelongTogetherMarch,1
"Period poverty? Are you insane, we want all tribal members to be a net contribution to the tribe if their not capable of earning £6000 a year at minimum they are not capable of covering their own cost of existence? £500 is the least of it? Grow up the state should not play daddy? ",1
"Lies!
More severe poverty!
34-1 spending on tax buyback vs employees 
$1 TRILLION deficit SO FAR THIS YEAR!
MORE UNINSURED!
MORE CORRUPTION IN GOVERNMENT! ",1
"#Mexico has elected a Communist President! With the poverty he will bring to the country, many children will die of hunger. Mr. President, Do Not Allow Any More Mexicans In The USA Starting Now! They became a danger to humanity!",1
What a stupid bitch.  She could always run for President but she needs to hurry up with that DNA test.  #Fauxcahontas,1
